action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
open,long,1742904900000,87179.8,0.0012934478228210468,22.552504500794864,86490.82857142857,229.65714285714162,金叉,,,,
close,long,1742904900000,87179.8,0.0012934478228210468,21.549038958316405,,,,1742998500000.0,86490.82857142857,-1.0034655424784598,止损
open,long,1743040800000,87475.6,0.0012317171278800262,21.549038958316405,86799.12142857144,225.49285714285466,金叉,,,,
close,long,1743040800000,87475.6,0.0012317171278800262,20.60848013557398,,,,1743075900000.0,86799.12142857144,-0.9405588227424249,止损
open,long,1743103800000,87260.1,0.0011808650308430763,20.60848013557398,86552.0142857143,236.028571428571,金叉,,,,
close,long,1743103800000,87260.1,0.0011808650308430763,19.66970215288599,,,,1743136200000.0,86552.0142857143,-0.9387779826879903,止损
open,short,1743216300000,83822.1,0.0011733004871558926,19.66970215288599,84406.73571428572,194.8785714285706,二次死叉,,,,
close,short,1743216300000,83822.1,0.0011733004871558926,21.630242677314605,,,,1743247800000.0,82068.19285714287,1.9605405244286145,固定止盈
open,short,1743286500000,82408.6,0.0013123777541005797,21.630242677314605,83079.63571428572,223.67857142857247,二次死叉,,,,
close,short,1743286500000,82408.6,0.0013123777541005797,20.640998794120655,,,,1743300000000.0,83079.63571428572,-0.9892438831939493,止损
open,short,1743343200000,82647.7,0.0012487340116010886,20.640998794120655,83310.7857142857,221.0285714285679,死叉,,,,
close,short,1743343200000,82647.7,0.0012487340116010886,19.709362107272682,,,,1743429600000.0,83310.7857142857,-0.9316366868479745,止损
open,short,1743462000000,82535.6,0.0011939915689273889,19.709362107272682,83228.49285714286,230.96428571428572,死叉,,,,
close,short,1743462000000,82535.6,0.0011939915689273889,18.78309341302294,,,,1743484500000.0,83228.49285714286,-0.9262686942497413,止损
open,long,1743519600000,84865.8,0.001106635029247526,18.78309341302294,83471.55,464.75,二次金叉,,,,
close,long,1743519600000,84865.8,0.001106635029247526,17.147023519374226,,,,1743632100000.0,83471.55,-1.6360698936487135,止损
open,short,1743676200000,83330.1,0.0010288613309820957,17.147023519374226,84079.17857142858,249.6928571428559,二次死叉,,,,
close,short,1743676200000,83330.1,0.0010288613309820957,16.29020507677918,,,,1743753600000.0,84079.17857142858,-0.8568184425950457,止损
open,short,1743767100000,82633.7,0.0009856877446356137,16.29020507677918,84230.57857142856,532.2928571428555,死叉,,,,
close,short,1743767100000,82633.7,0.0009856877446356137,14.63394340204816,,,,1743787800000.0,84230.57857142856,-1.6562616747310204,止损
open,long,1743815700000,84152.0,0.0008694946883049815,14.63394340204816,83495.38571428572,218.8714285714294,二次金叉,,,,
close,long,1743815700000,84152.0,0.0008694946883049815,13.990136512661026,,,,1743834600000.0,83495.38571428572,-0.6438068893871335,止损
open,short,1743835500000,83440.9,0.0008383260794562995,13.990136512661026,83862.14285714286,140.4142857142849,死叉,,,,
close,short,1743835500000,83440.9,0.0008383260794562995,13.566870387733713,,,,1743847200000.0,83862.14285714286,-0.4232661249273136,止损
open,short,1743850800000,83538.1,0.0008120169352507248,13.566870387733713,83952.55,138.1500000000004,二次死叉,,,,
close,short,1743850800000,83538.1,0.0008120169352507248,14.50916210286726,,,,1743947100000.0,82294.75,0.9422917151335469,固定止盈
open,short,1744106400000,78871.9,0.0009197928605033772,14.50916210286726,79713.29285714285,280.4642857142857,死叉,,,,
close,short,1744106400000,78871.9,0.0009197928605033772,13.662322195902949,,,,1744111800000.0,79713.29285714285,-0.8468399069643118,止损
open,short,1744125300000,78159.6,0.0008740015427345423,13.662322195902949,79763.4,534.5999999999985,死叉,,,,
close,short,1744125300000,78159.6,0.0008740015427345423,12.191586048848666,,,,1744218900000.0,79763.4,-1.4707361470542824,止损
open,long,1744343100000,80796.9,0.0007544587755748468,12.191586048848666,79706.63571428572,363.4214285714282,金叉,,,,
close,long,1744343100000,80796.9,0.0007544587755748468,14.597072653576292,,,,1744394400000.0,84067.69285714284,2.405486604727626,固定止盈
open,long,1744437600000,83490.0,0.0008741808991242241,14.597072653576292,82781.95714285714,236.01428571428758,二次金叉,,,,
close,long,1744437600000,83490.0,0.0008741808991242241,16.380031478423096,,,,1744489800000.0,85614.12857142859,1.7829588248468047,固定止盈
open,long,1744513200000,85336.1,0.0009597363529867838,16.380031478423096,84262.22857142858,357.95714285714246,二次金叉,,,,
close,long,1744513200000,85336.1,0.0009597363529867838,15.268013189321351,,,,1744531200000.0,84262.22857142858,-1.1120182891017436,止损
open,long,1744596900000,84998.8,0.0008981311023991722,15.268013189321351,83538.25000000001,486.84999999999644,金叉,,,,
close,long,1744596900000,84998.8,0.0008981311023991722,13.880563624456448,,,,1744761600000.0,83538.25000000001,-1.3874495648649028,止损
open,long,1744812900000,84318.9,0.0008230991879908567,13.880563624456448,83393.07857142857,308.6071428571387,金叉,,,,
close,long,1744812900000,84318.9,0.0008230991879908567,13.049498961685536,,,,1744825500000.0,83393.07857142857,-0.8310646627709124,止损
open,long,1744837200000,84412.8,0.000772957357277897,13.049498961685536,82912.58571428571,500.07142857143066,二次金叉,,,,
close,long,1744837200000,84412.8,0.000772957357277897,16.46131707328145,,,,1745325900000.0,88913.44285714287,3.4118181115959145,固定止盈
open,long,1745409600000,93731.2,0.0008781130015022454,16.46131707328145,92987.90714285715,247.76428571428445,二次金叉,,,,
close,long,1745409600000,93731.2,0.0008781130015022454,15.726641713695045,,,,1745415900000.0,92987.90714285715,-0.734675359586404,止损
open,long,1745428500000,93719.6,0.0008390262929896758,15.726641713695045,92200.07857142857,506.50714285714326,二次金叉,,,,
close,long,1745428500000,93719.6,0.0008390262929896758,14.373727533009571,,,,1745479800000.0,92200.07857142857,-1.3529141806854739,止损
open,long,1745506800000,93250.5,0.0007707051186325849,14.373727533009571,92313.10714285714,312.4642857142857,金叉,,,,
close,long,1745506800000,93250.5,0.0007707051186325849,16.468135634643634,,,,1746094500000.0,96062.67857142857,2.094408101634063,固定止盈
open,long,1746135000000,96708.9,0.0008514281330179351,16.468135634643634,95897.82857142857,270.3571428571408,二次金叉,,,,
close,long,1746135000000,96708.9,0.0008514281330179351,15.695571208813748,,,,1746268200000.0,95897.82857142857,-0.7725644258298856,止损
open,short,1746440100000,94315.2,0.0008320806831143734,15.695571208813748,94729.97142857143,138.25714285714224,二次死叉,,,,
close,short,1746440100000,94315.2,0.0008320806831143734,15.271797497500826,,,,1746469800000.0,94729.97142857143,-0.42377371131292135,止损
open,short,1746499500000,94291.3,0.0008098200734055435,15.271797497500826,94920.50714285714,209.73571428571344,死叉,,,,
