action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,close_time,close_price,pnl,close_reason
close,short,1744200000000,76437.5,0.006216430949550885,89.14006757030276,,,1744205400000.0,77385.57142857143,-5.893620570956389,止损
open,short,1744274700000,81518.0,0.005467508254023821,89.14006757030276,82070.5,276.25,,,,
close,short,1744274700000,81518.0,0.005467508254023821,86.1192692599546,,,1744279200000.0,82070.5,-3.0207983103481615,止损
open,short,1744428600000,83087.9,0.005182419417265005,86.1192692599546,83466.84285714285,189.4714285714321,,,,
close,short,1744428600000,83087.9,0.005182419417265005,84.15542843906358,,,1744435800000.0,83466.84285714285,-1.963840820891026,止损
open,long,1744569000000,84848.4,0.004959164135037526,84.15542843906358,84257.42857142857,295.48571428571137,,,,
close,long,1744569000000,84848.4,0.004959164135037526,81.22470412566027,,,1744572600000.0,84257.42857142857,-2.9307243134033216,止损
open,long,1744593300000,84525.2,0.004804762610775264,81.22470412566027,83611.74285714286,456.7285714285702,,,,
close,long,1744593300000,84525.2,0.004804762610775264,78.91265235735523,,,1744646400000.0,84044.0,-2.312051768305043,信号平仓
open,short,1744848000000,83932.1,0.004700981648103361,78.91265235735523,84323.84285714287,195.87142857142837,,,,
close,short,1744848000000,83932.1,0.004700981648103361,77.07107637515107,,,1744852500000.0,84323.84285714287,-1.8415759822041655,止损
open,long,1744870500000,84562.6,0.00455704273373519,77.07107637515107,84201.11428571428,180.74285714285776,,,,
close,long,1744870500000,84562.6,0.00455704273373519,75.42377052751624,,,1744884000000.0,84201.11428571428,-1.6473058476348232,止损
open,long,1745028900000,84695.9,0.004452622295029409,75.42377052751624,84451.95714285714,121.97142857142899,,,,
close,long,1745028900000,84695.9,0.004452622295029409,76.69143209491116,,,1745082900000.0,84980.6,1.2676615673949245,信号平仓
open,long,1745179200000,84899.3,0.004516611567757989,76.69143209491116,84685.5142857143,106.89285714285818,,,,
close,long,1745179200000,84899.3,0.004516611567757989,75.72584506474692,,,1745187300000.0,84685.5142857143,-0.9655870301642427,止损
open,long,1745280900000,87556.7,0.004324388942522212,75.72584506474692,87131.35714285714,212.67142857142815,,,,
close,long,1745280900000,87556.7,0.004324388942522212,73.88649711653757,,,1745281800000.0,87131.35714285714,-1.8393479482093549,止损
open,long,1745429400000,93740.1,0.003941029352248267,73.88649711653757,92792.37142857144,473.86428571428615,,,,
close,long,1745429400000,93740.1,0.003941029352248267,71.73903022249745,,,1745456400000.0,93195.2,-2.1474668940401154,信号平仓
open,long,1745505000000,93082.0,0.003853539364350651,71.73903022249745,92524.31428571428,278.8428571428573,,,,
