open_time,open,high,low,close,volume,close_time
1747152000000,656.04,671.84,655.81,667.02,194274.9,1747166399999
1747166400000,667.0,667.5,662.72,664.62,89712.52,1747180799999
1747180800000,664.62,666.87,658.03,662.08,121780.4,1747195199999
1747195200000,662.07,664.72,656.74,658.57,84460.37,1747209599999
1747209600000,658.57,661.08,650.8,659.74,151352.93,1747223999999
1747224000000,659.73,659.92,650.1,652.41,154917.4,1747238399999
1747238400000,652.42,655.16,647.2,653.17,82619.71,1747252799999
1747252800000,653.18,653.82,649.8,652.8,37577.94,1747267199999
1747267200000,652.79,655.22,645.01,648.05,77074.14,1747281599999
1747281600000,648.04,652.75,642.39,644.68,107058.2,1747295999999
1747296000000,644.67,654.93,644.59,653.81,131919.07,1747310399999
1747310400000,653.82,656.69,643.5,655.86,187819.18,1747324799999
1747324800000,655.86,661.57,648.8,652.38,166376.67,1747339199999
1747339200000,652.38,655.3,645.71,652.17,81282.79,1747353599999
1747353600000,652.17,660.19,646.62,658.18,138529.1,1747367999999
1747368000000,658.19,659.68,655.2,655.45,79662.8,1747382399999
1747382400000,655.46,657.59,651.49,654.6,95948.77,1747396799999
1747396800000,654.61,655.35,650.08,652.1,74391.69,1747411199999
1747411200000,652.09,654.5,648.0,649.77,73984.42,1747425599999
1747425600000,649.76,650.42,643.57,646.39,71318.72,1747439999999
1747440000000,646.39,646.61,634.32,643.1,139318.35,1747454399999
1747454400000,643.1,645.56,642.11,643.02,56578.07,1747468799999
1747468800000,643.02,644.34,639.52,641.4,67786.46,1747483199999
1747483200000,641.41,642.87,636.28,640.44,68795.89,1747497599999
1747497600000,640.45,642.68,635.86,640.32,58024.61,1747511999999
1747512000000,640.32,642.73,637.71,639.42,54841.55,1747526399999
1747526400000,639.42,643.2,638.92,642.25,44261.17,1747540799999
1747540800000,642.26,646.15,642.22,645.46,50698.31,1747555199999
1747555200000,645.46,648.26,644.7,644.98,57595.79,1747569599999
1747569600000,644.98,654.85,643.6,653.97,90812.11,1747583999999
1747584000000,653.98,654.97,637.88,637.89,150130.36,1747598399999
1747598400000,637.89,652.34,633.82,651.32,126032.25,1747612799999
1747612800000,651.32,653.47,637.86,638.42,110174.32,1747627199999
1747627200000,638.43,640.6,633.16,638.35,106745.93,1747641599999
1747641600000,638.35,640.98,636.68,639.87,57941.34,1747655999999
1747656000000,639.87,647.49,635.66,645.28,99711.01,1747670399999
1747670400000,645.28,649.7,644.48,648.5,89905.5,1747684799999
1747684800000,648.48,652.18,647.45,649.96,57846.3,1747699199999
1747699200000,649.96,654.14,648.29,650.67,74512.17,1747713599999
1747713600000,650.67,652.61,646.49,647.61,74103.55,1747727999999
1747728000000,647.61,648.5,641.65,643.83,68706.17,1747742399999
1747742400000,643.83,645.67,640.22,644.66,81883.3,1747756799999
1747756800000,644.66,649.17,642.78,648.1,64063.69,1747771199999
1747771200000,648.1,652.97,647.19,650.37,57784.16,1747785599999
1747785600000,650.37,658.57,648.85,657.0,104752.57,1747799999999
1747800000000,657.01,669.71,652.69,653.19,226573.09,1747814399999
1747814400000,653.2,655.41,650.25,654.94,118412.5,1747828799999
1747828800000,654.94,664.95,652.16,663.57,167562.87,1747843199999
1747843200000,663.57,672.8,660.24,671.08,295652.97,1747857599999
1747857600000,671.09,678.38,668.48,673.58,118809.44,1747871999999
1747872000000,673.59,689.99,673.35,685.43,197216.79,1747886399999
1747886400000,685.45,687.74,678.99,683.0,127376.76,1747900799999
1747900800000,683.0,688.07,681.59,687.21,129802.91,1747915199999
1747915200000,687.22,688.12,681.44,682.2,143226.95,1747929599999
1747929600000,682.21,685.49,679.24,681.06,88000.59,1747943999999
1747944000000,681.08,686.69,679.02,686.49,70061.58,1747958399999
1747958400000,686.49,691.66,683.77,688.11,104265.39,1747972799999
1747972800000,688.1,690.15,682.34,682.67,116023.83,1747987199999
1747987200000,682.67,687.37,670.31,672.37,154950.09,1748001599999
1748001600000,672.37,675.26,660.59,670.78,308279.94,1748015999999
1748016000000,670.78,671.29,665.16,665.63,85275.21,1748030399999
1748030400000,665.63,665.66,653.6,656.85,104844.12,1748044799999
1748044800000,656.85,666.5,655.31,664.63,78293.26,1748059199999
1748059200000,664.62,671.72,664.4,668.34,95531.88,1748073599999
1748073600000,668.35,677.27,668.34,674.66,106068.69,1748087999999
1748088000000,674.67,676.13,671.5,674.16,54902.83,1748102399999
1748102400000,674.15,676.85,672.79,676.74,36456.42,1748116799999
1748116800000,676.73,676.94,666.0,667.89,80572.75,1748131199999
1748131200000,667.89,668.33,659.78,665.61,101196.49,1748145599999
1748145600000,665.62,666.2,659.79,661.65,55840.12,1748159999999
1748160000000,661.66,662.5,656.49,661.52,96726.49,1748174399999
1748174400000,661.52,667.95,660.7,663.03,91585.06,1748188799999
1748188800000,663.03,668.28,661.62,667.2,42998.41,1748203199999
1748203200000,667.21,671.54,665.5,669.13,56377.27,1748217599999
1748217600000,669.12,675.48,667.98,674.05,77837.16,1748231999999
1748232000000,674.05,675.42,671.52,674.43,52359.1,1748246399999
1748246400000,674.43,675.26,671.94,673.88,52791.36,1748260799999
1748260800000,673.88,676.1,670.82,675.09,64597.56,1748275199999
1748275200000,675.1,677.5,670.31,672.03,68749.85,1748289599999
1748289600000,672.04,674.89,671.06,673.91,26813.71,1748303999999
1748304000000,673.92,674.63,666.12,673.91,81964.38,1748318399999
1748318400000,673.92,681.8,672.65,680.67,112039.26,1748332799999
1748332800000,680.69,684.28,679.56,681.91,127210.58,1748347199999
1748347200000,681.92,698.0,681.85,690.76,277183.21,1748361599999
1748361600000,690.77,694.35,688.0,689.57,86409.61,1748375999999
1748376000000,689.56,689.88,686.0,687.14,51829.14,1748390399999
1748390400000,687.14,687.36,681.17,684.15,94229.85,1748404799999
1748404800000,684.15,684.64,679.71,681.71,85711.13,1748419199999
1748419200000,681.72,686.96,680.73,686.94,68695.17,1748433599999
1748433600000,686.95,688.88,680.87,681.69,136040.09,1748447999999
1748448000000,681.7,689.05,681.68,683.32,114586.19,1748462399999
1748462400000,683.32,688.75,683.24,686.8,56499.69,1748476799999
1748476800000,686.79,691.21,685.51,685.98,85685.43,1748491199999
1748491200000,685.99,687.3,680.0,684.94,93462.3,1748505599999
1748505600000,684.94,689.58,683.91,685.63,106435.08,1748519999999
1748520000000,685.63,685.9,678.64,680.89,101247.11,1748534399999
1748534400000,680.89,681.07,673.1,674.69,85499.98,1748548799999
